damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
4,0.94171254,0.1508,0.14171254,25,9.5,7,7,1.5,1.5,2,0.4
1,1.34E-06,0,2.68E-06,3,4,7,7.5,1.5,0.5,2,0.35
1,0.00010532,0,0.00021064,4,5.5,7,2,1.5,1.5,2,0.35
3,0.4624,0.2718,1.82E-05,2,6.5,7,3.5,1.5,1.5,2,0.15
1,6.38E-06,0,1.28E-05,1,4,7,3.5,1.5,0.5,2,0.3
1,0.0003869,0,0.00077379,5,4,7,2,1.5,1.5,2,0.35
2,0.19785,0.0819,4.04E-06,3,5.5,7,4.5,1.5,0.5,2,0.25
2,0.27975,0.1365,2.00E-05,2,5.5,7,3,1.5,1,2,0.15
2,0.1947,0.0798,3.62E-06,6,7,7,5,1.5,1,2,0.4
1,1.14E-05,0,2.27E-05,2,9,7,2,1.5,0.5,2,0.15
4,1,0.5031,0.23925824,12,5,7,4.5,1.5,0.5,2,0.2
1,3.20E-06,0,6.41E-06,2,7.5,7,3,1.5,0.5,2,0.3
4,1,0.6753,0.52674889,13,4.5,7,2.5,1.5,0.5,2,0.2
1,3.40E-07,0,6.80E-07,3,10.5,7,6.5,1.5,0.5,2,0.4
1,1.25E-05,0,2.49E-05,1,5,7,3,1.5,1,2,0.4
1,1.93E-05,0,3.87E-05,7,6.5,7,2,1.5,0.5,2,0.35
2,0.1869,0.0746,7.18E-06,12,7,7,3,1.5,0.5,2,0.45
3,0.34426667,0.1832,4.43E-05,3,5.5,7,3,1.5,1.5,2,0.2
1,1.14E-05,0,2.27E-05,1,5,7,4.5,1.5,1.5,2,0.2
1,3.67E-05,0,7.35E-05,1,4.5,7,2,1.5,0.5,2,0.35
4,0.80612624,0.1246,0.08826578,16,9.5,7,6.5,1.5,0.5,2,0.3
4,1,0.45,0.21772225,7,6.5,7,4,1.5,0.5,2,0.15
1,2.17E-06,0,4.34E-06,1,8.5,7,5,1.5,1.5,2,0.25
1,2.02E-05,0,4.04E-05,2,4,7,5.5,1.5,1.5,2,0.4
2,0.2991,0.1494,3.42E-05,14,6,7,3,1.5,1.5,2,0.45
1,2.39E-06,0,4.77E-06,1,6,7,7.5,1.5,1.5,2,0.3
2,0.16035,0.0569,1.07E-06,2,9.5,7,7,1.5,1,2,0.15
4,0.97017978,0.3366,0.17017978,23,4.5,7,7,1.5,0.5,2,0.25
4,1,0.4091,0.27100455,19,5,7,4,1.5,0.5,2,0.45
2,0.1911,0.0774,2.48E-06,7,10.5,7,3.5,1.5,0.5,2,0.35
2,0.2802,0.1368,5.10E-06,9,7.5,7,4,1.5,1,2,0.35
1,4.00E-06,0,8.01E-06,8,6,7,4,1.5,1,2,0.4
1,0.1395,0.0465,1.74E-06,8,8.5,7,6,1.5,1,2,0.4
4,1,0.0027,0.34945062,14,10,7,2.5,1.5,1,2,0.4
1,0.1122,0.0374,1.19E-06,8,10.5,7,6,1.5,1,2,0.4
2,0.2823,0.1382,1.92E-05,13,4,7,3,1.5,0.5,2,0.4
4,0.91101584,0.1371,0.11101584,20,9,7,7,1.5,1,2,0.35
4,1,0.8015,0.48616714,23,5,7,2.5,1.5,0.5,2,0.35
1,0.1047,0.0349,7.90E-07,4,10.5,7,6,1.5,0.5,2,0.3
4,0.9303668,0.2214,0.1303668,20,8.5,7,5,1.5,0.5,2,0.25
1,1.15E-06,0,2.31E-06,3,9,7,6.5,1.5,1.5,2,0.25
1,1.47E-05,0,2.94E-05,1,6,7,2.5,1.5,1,2,0.45
1,3.94E-05,0,7.87E-05,2,8,7,2,1.5,1.5,2,0.15
